"","Outcome","Est","Est.Unrounded","SE","SE.Unrounded","CI","pval","Analyzed.n","Reject.Romano","Theta.hat","Global.pval","Null.int","Excess.hits"
"1","Overall flourishing (continuous)",0.42,0.423498737929967,"0.06",0.058698833929551,"[0.31, 0.54]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"2","Emotional well-being",0.41,0.408181095885451,"0.06",0.0613759123542638,"[0.29, 0.53]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"3","Social well-being",0.25,0.24713163973131,"0.05",0.0541416244133021,"[0.14, 0.35]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"4","Psychological well-being",0.4,0.39754738480155,"0.06",0.0609043522677844,"[0.28, 0.52]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"5","Positive affect",0.37,0.373368103833728,"0.06",0.0609095690141059,"[0.25, 0.49]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"6","Life satisfaction",0.34,0.342425927454627,"0.06",0.0587392974514443,"[0.23, 0.46]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"7","Meaningfulness of society",0.1,0.0955623749523209,"0.05",0.0525122613643475,"[-0.01, 0.20]","0.069",NA,NA,NA,NA," [NA, NA]",NA
"8","Social integration",0.32,0.315614524080978,"0.05",0.0518319488019481,"[0.21, 0.42]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"9","Social acceptance",0.18,0.184971536255709,"0.05",0.0509397858126767,"[0.09, 0.28]","2.87E-04***",NA,NA,NA,NA," [NA, NA]",NA
"10","Social contribution",0.16,0.159780211244905,"0.05",0.0548818979108816,"[0.05, 0.27]","3.63E-03**",NA,NA,NA,NA," [NA, NA]",NA
"11","Social actualization",0.11,0.108751344865171,"0.06",0.0570385846289939,"[-0.00, 0.22]","0.057",NA,NA,NA,NA," [NA, NA]",NA
"12","Autonomy",0.21,0.212793127690068,"0.05",0.0546688331599946,"[0.11, 0.32]","1.01E-04***",NA,NA,NA,NA," [NA, NA]",NA
"13","Environmental mastery",0.29,0.293014971416473,"0.05",0.0545309919186442,"[0.19, 0.40]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"14","Personal growth",0.18,0.180003032464049,"0.06",0.0587779452002461,"[0.06, 0.30]","2.22E-03***",NA,NA,NA,NA," [NA, NA]",NA
"15","Positive relations",0.47,0.471355482019863,"0.06",0.0587782971537745,"[0.36, 0.59]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"16","Purpose in life",0.07,0.0720697440601612,"0.05",0.053305172077833,"[-0.03, 0.18]","0.176",NA,NA,NA,NA," [NA, NA]",NA
"17","Self-acceptance",0.41,0.412156506041318,"0.06",0.0598659596027821,"[0.29, 0.53]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
