"","Outcome","Evalue.point","Evalue.CI"
"1","Overall flourishing (continuous)",2.38,2.11
"2","Emotional well-being",2.33,2.06
"3","Social well-being",1.86,1.6
"4","Psychological well-being",2.3,2.03
"5","Positive affect",2.27,2
"6","Life satisfaction",2.1,1.84
"7","Meaningfulness of society",1.46,1.15
"8","Social integration",2.01,1.75
"9","Social acceptance",1.58,1.3
"10","Social contribution",1.64,1.37
"11","Social actualization",1.55,1.25
"12","Autonomy",1.73,1.47
"13","Environmental mastery",1.93,1.67
"14","Personal growth",1.72,1.45
"15","Positive relations",2.52,2.25
"16","Purpose in life",1.4,1
"17","Self-acceptance",2.3,2.02
