"","Outcome","Evalue.point","Evalue.CI"
"1","Overall flourishing (continuous)",2.3,1.96
"2","Emotional well-being",2.26,1.91
"3","Social well-being",1.81,1.53
"4","Psychological well-being",2.23,1.88
"5","Positive affect",2.16,1.82
"6","Life satisfaction",2.07,1.75
"7","Meaningfulness of society",1.41,1
"8","Social integration",2,1.71
"9","Social acceptance",1.65,1.37
"10","Social contribution",1.58,1.27
"11","Social actualization",1.44,1
"12","Autonomy",1.72,1.43
"13","Environmental mastery",1.94,1.64
"14","Personal growth",1.64,1.31
"15","Positive relations",2.44,2.09
"16","Purpose in life",1.34,1
"17","Self-acceptance",2.27,1.92
