"","Outcome","Est","Est.Unrounded","SE","SE.Unrounded","CI","pval","Analyzed.n","Reject.Romano","Theta.hat","Global.pval","Null.int","Excess.hits"
"1","Overall flourishing (continuous)",0.2,0.201643462956012,"0.02",0.0198477544540318,"[0.16, 0.24]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"2","Emotional well-being",0.19,0.194076135183904,"0.02",0.0197868801954547,"[0.16, 0.23]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"3","Social well-being",0.13,0.125871484486905,"0.02",0.0199450072193453,"[0.09, 0.16]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"4","Psychological well-being",0.18,0.181135584609746,"0.02",0.0200083324790013,"[0.14, 0.22]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"5","Positive affect",0.18,0.180040334291684,"0.02",0.019762545080776,"[0.14, 0.22]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"6","Life satisfaction",0.16,0.162185413567577,"0.02",0.0199433040431215,"[0.12, 0.20]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"7","Meaningfulness of society",0.04,0.0381216709038728,"0.02",0.0197350184959013,"[-0.00, 0.08]","0.053",NA,NA,NA,NA," [NA, NA]",NA
"8","Social integration",0.15,0.15315694463351,"0.02",0.0197936062378913,"[0.11, 0.19]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"9","Social acceptance",0.09,0.0884808409824253,"0.02",0.0200972723037859,"[0.05, 0.13]","1.11E-05***",NA,NA,NA,NA," [NA, NA]",NA
"10","Social contribution",0.08,0.083596823702867,"0.02",0.0199460617072116,"[0.04, 0.12]","2.86E-05***",NA,NA,NA,NA," [NA, NA]",NA
"11","Social actualization",0.07,0.0718777616788621,"0.02",0.0204884585821185,"[0.03, 0.11]","4.58E-04***",NA,NA,NA,NA," [NA, NA]",NA
"12","Autonomy",0.07,0.0720985116858082,"0.02",0.0203930773103605,"[0.03, 0.11]","4.13E-04***",NA,NA,NA,NA," [NA, NA]",NA
"13","Environmental mastery",0.13,0.128752127506686,"0.02",0.0199431852241003,"[0.09, 0.17]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"14","Personal growth",0.09,0.0889490121531727,"0.02",0.0201977590034771,"[0.05, 0.13]","1.10E-05***",NA,NA,NA,NA," [NA, NA]",NA
"15","Positive relations",0.23,0.225860182357491,"0.02",0.0196716122029287,"[0.19, 0.26]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
"16","Purpose in life",0.04,0.0350516939982507,"0.02",0.0202001585921345,"[-0.00, 0.07]","0.083",NA,NA,NA,NA," [NA, NA]",NA
"17","Self-acceptance",0.19,0.188952666749536,"0.02",0.0197927222762535,"[0.15, 0.23]","< 1E-05***",NA,NA,NA,NA," [NA, NA]",NA
