"","X1","X","C1","C2","Ylin1","Ylin2","Ylin3","Ylin4","Ybin1","Ybin2","Ybin3","Ybin4","Ybin5"
"1",1,0,0.31784287857388,0.311370294802392,1.34328840534412,-0.668653608376369,-1.50736765092539,0.2925272087776,0,1,1,0,0
"2",2,1,-2.61253587758492,-1.335543794994,2.15516823293578,0.33196882766874,1.2952313565221,-1.28453315575065,0,1,0,0,0
"3",3,0,0.644527380732486,-1.10927611520857,-0.625731103944152,-1.36125101880175,0.338310654757342,0.983397003643182,1,1,1,1,0
"4",4,1,0.0411922933055845,0.0952155513042578,0.833210715275652,0.67776444625183,-0.46077201350858,2.4113575664027,1,1,1,0,0
"5",5,0,-0.337994925586836,-0.113537105102883,-0.714623231092037,0.357372264944362,0.0256815617571257,0.940902067218722,1,0,0,1,0
"6",6,0,1.20451529155621,-1.06564247405903,0.885483272757127,0.0943237051243536,0.396676582496665,-0.8307519282992,0,0,0,1,0
"7",7,0,-1.32115504669846,-0.732685796588664,-0.173141320456078,-1.32723359680972,-0.104610141283793,-1.22943904133193,0,0,0,0,0
"8",8,1,-0.170889879212141,1.18891216888946,1.25906002005593,-1.41520356492626,-0.331182799920117,-2.60885237366678,0,1,0,0,1
"9",9,0,0.0241409272415923,-0.695328139200207,-0.98214834801378,1.96054863523226,0.130385469432988,0.115864218230715,1,0,0,0,0
"10",10,0,0.543221154040152,-0.446261661209164,-0.466318023550986,0.775199260088369,0.513391677915906,-0.207117100011892,0,0,0,0,0
"11",11,0,-2.54478724740498,0.140078295968159,0.0142745719296376,0.524304051678124,-0.337917190355776,-1.88977850378535,0,0,0,0,0
"12",12,1,0.464126386935491,0.694631506988199,-1.53801637701673,1.13922577548752,0.888531462049254,0.0807897897606247,0,1,1,1,0
"13",13,0,-0.033380349757222,-0.210394462748291,-0.358314711338119,-1.03908975023467,-0.913271165022659,-1.07335498725535,1,1,1,0,0
"14",14,0,-0.328142220311609,-0.138886605933608,-1.41203386123915,0.439932411762672,-0.509918725311701,-2.09935209348747,0,0,0,1,0
"15",15,0,1.05484551151446,0.349575569460587,0.941745761359104,-1.18452039535644,-0.917260037294177,0.0123067130910442,0,0,0,0,0
"16",16,1,-0.118465862551385,-1.97933543313053,0.742339245557322,1.12829856395681,0.767577981242478,-0.358400802751239,1,0,1,1,1
"17",17,0,1.49771438422033,0.463889182311237,0.729079040324383,-1.37163909928991,0.579664466436,1.67450860691884,1,0,1,0,0
"18",18,1,1.37924719990767,0.509139139590115,0.324037689512618,1.26123261860874,-0.426321572650141,-0.107829544125013,0,1,1,0,0
"19",19,1,0.549760000764405,-0.264574396148789,1.240535568314,0.450965290894759,1.73555309500414,0.0200506744493454,0,1,0,1,0
"20",20,1,0.670812802180717,1.01041179954436,0.125300194911216,-1.14340816316113,-0.703205628365251,2.67752138053728,0,0,0,1,0
"21",21,0,-0.740909731881261,1.16438767893518,1.54105604256299,1.28010707557793,-0.753110904486648,0.880351422064437,1,1,1,0,0
"22",22,1,1.44829958812992,-0.191404249574318,0.882042028835184,-0.735938023701192,1.10649402224403,0.68823117768376,1,1,1,1,0
"23",23,0,-0.995981104723149,0.339812707210257,0.655712526706695,0.442829254273967,-0.809402052989824,0.457383070334378,0,0,0,0,0
"24",24,0,-1.54549948934527,-1.64441798883818,-1.15216650340337,-1.12229467802298,-0.394063511890697,0.86231240100053,1,0,1,0,0
"25",25,1,-0.613766743630612,-1.22834230054031,-0.784264576383647,0.659602385961506,-3.18323772648104,-1.38724128154336,0,0,0,0,0
"26",26,1,0.754162364055666,1.41934000292143,-1.53130045373854,1.9869503475184,-0.366503379175204,-1.80078453471715,1,0,1,0,0
"27",27,0,-0.0942008278715263,0.21106250533197,1.14777686593921,-0.298363144713643,0.800306634631372,-0.904849665574358,1,0,1,0,0
"28",28,1,-2.50499788104317,-0.331339234074278,0.32575898571315,0.748602384015625,-2.21114461047074,-0.554864712925325,0,0,1,0,0
"29",29,1,0.557754727532975,-1.42235374681691,0.139484516401076,-0.507763782905194,-0.6027934808388,0.0829477757652429,1,0,0,0,0
"30",30,1,1.15658490863491,-0.459888410713473,2.06751829059042,-1.00407902530468,-1.03363693297368,-0.969373029806535,1,1,1,0,0
"31",31,0,0.294927990437041,-1.23480843301095,-0.219490581702839,1.54591201749129,-1.03386462556227,-1.56416780344206,0,1,0,0,0
"32",32,1,-0.930086250951059,-0.554273612586042,2.27022452787974,0.576330196677429,0.343451523491868,0.336025240798873,0,0,0,0,0
"33",33,1,-1.14610386119147,1.07422978703275,-1.69016185187133,-0.481848135213753,0.508161454974002,-0.976111348075933,0,0,0,0,0
"34",34,0,-1.89580958841254,1.0369027309651,0.983206866125676,-0.446042887646006,1.19474717258513,0.754704317558195,1,1,1,1,0
"35",35,1,-0.924190079434396,-0.407792689107652,-0.214913693086194,1.01158852655084,0.0692068509422384,-0.890555596696544,1,1,0,1,0
"36",36,1,-0.247315959065329,-0.132372652299041,0.500162530398488,-0.276594260804367,0.137351350248233,0.156669725345206,0,0,1,1,0
"37",37,0,0.519496408923958,2.53668549821095,1.37531712661551,0.673566294306178,-1.1263849029211,-0.484093506856491,0,0,0,0,0
"38",38,1,2.04898028919947,-0.632495449323488,-0.895285313531294,1.25066890771212,0.221057932403833,-0.152967899315876,0,0,1,1,0
"39",39,0,0.108130916951233,0.497593305685627,0.830403596367737,-0.483902186867383,-0.613492615655451,-0.372580639504749,0,1,1,1,0
"40",40,0,-2.47760489204668,-0.397612732617219,1.04278013398924,0.467683637160996,1.68801377256267,1.1242619768678,1,1,0,1,0
"41",41,0,-1.25743854255018,-0.582720783333586,-0.898963819468908,-0.183144215018224,-0.550141165312749,-0.374275438116644,0,0,0,1,0
"42",42,1,-2.31837111880091,-2.55367766962073,0.157440284850564,1.49743942148723,-0.535373523609849,1.94894134867215,1,1,0,0,0
"43",43,0,-2.19578359329433,-0.406232992062289,1.23634306751589,-0.108736168970805,0.560288321642001,-0.93913456039162,0,1,0,1,0
"44",44,1,-1.11022052496799,-1.1101526838361,0.170045904425237,-1.16889232608283,-1.0351621096285,0.537688526055656,0,1,0,0,0
"45",45,1,0.372812588354102,0.479714113817005,-0.318490623284868,0.920277241747248,-0.936042679332529,0.862066394497575,1,1,0,0,0
"46",46,1,1.03856414644166,-0.185939824782771,0.45696626074185,0.108343600370988,-0.596661663277366,-1.02649822017571,1,1,0,0,0
"47",47,1,-0.358111675888008,0.439003953265399,1.81178041912232,-0.632745754392946,-1.1771038133769,-0.957185363220801,1,0,1,1,0
"48",48,0,-0.509661208010661,0.359246631354857,-1.37704607809242,0.103960675670993,0.249901212432304,-0.428703700313746,1,1,1,1,0
"49",49,0,0.985060373092225,0.414398483900041,1.49093683340116,0.0351113502049818,-0.797994522453319,0.266988910395223,1,1,1,1,0
"50",50,1,1.00638182951666,-0.617122190568193,0.590524361634712,-0.196515237588363,-0.959011657306298,-0.181799261248529,0,0,0,0,0
"51",51,1,-0.0977784960928358,-0.760665590608662,1.15462603053521,0.0501809553591329,-0.28057211719878,0.263026568374042,0,1,0,1,0
"52",52,0,-1.65173534433334,-0.536499393242151,-0.578146447467207,-0.756923339861359,0.584675646837427,0.754811485639358,0,0,1,0,0
"53",53,1,-0.346364948635768,0.0960878276826801,1.11250651291438,0.202480920217809,1.02456739844386,-0.948991943010741,0,1,1,0,0
"54",54,0,0.277481406074113,-1.05720456571242,0.95191556386897,-0.55458963914054,1.44071540122332,0.15199688504342,0,0,1,0,0
"55",55,0,0.740240886845719,-1.62564364297805,-1.01977139563384,-0.555191933437526,0.648448174090766,-2.217102080173,0,0,1,1,0
"56",56,0,0.322867894864025,0.307409284470074,-0.111105705316221,-1.88023986039972,-1.0021488289009,-0.388242396848844,1,1,1,0,0
"57",57,1,-0.446439670055641,-0.292368044887951,-0.705557678600305,1.06027231508737,-1.78715680778947,0.0796045240973587,1,0,0,0,0
"58",58,1,-0.704390061431756,-0.638250315691448,0.175198826231899,0.277073067550987,-0.00687891806825278,-2.09934558500668,0,1,0,0,0
"59",59,1,1.64909725654359,-0.604865656219384,1.59248712773193,1.08807190522036,-0.406181254649386,0.174410884200108,1,0,1,0,0
"60",60,1,0.15268375157929,1.36160977039682,-0.476076383171037,0.652374106020792,-1.11395090173146,0.166925064397855,1,0,0,0,0
"61",61,1,0.5392253282101,1.74715238580055,-0.660257638366305,0.269644920908369,0.246565534781538,-1.13552699835522,1,0,0,0,0
"62",62,0,0.942751460763597,0.674494527054613,-0.328336633127396,-0.857263793375971,-0.323710785906952,-1.12103248080825,1,0,1,0,0
"63",63,0,-0.52900671609599,0.960901275151409,-1.74534941293286,1.18971349049438,-0.349855891823491,1.46183087655822,0,1,1,1,0
"64",64,0,1.16935004618175,-0.249209438560797,-0.333738622365404,-1.33099797740862,-2.5917251040792,-0.429076273861031,1,1,1,0,0
"65",65,1,0.369876565654387,0.252319701172369,-0.098263370873123,0.749151946665997,-1.75363191692463,1.08734677337952,1,1,1,1,0
"66",66,0,0.36890607485933,2.35097803303736,-0.519775793687564,-1.28356780344048,1.31867783122843,0.54489774160175,0,1,0,0,0
"67",67,0,-0.24180233889933,1.56184196559421,-1.24335600563647,0.227216307247074,-1.68984886162253,0.244219675723544,0,0,0,1,0
"68",68,1,-0.497728459346802,0.336917607096956,-2.04721820882248,-0.214638844908699,0.44918935457321,1.04727344180264,1,1,0,1,0
"69",69,1,1.59128543706719,1.4983663215323,1.38542426365113,-0.514942777801654,1.26379368282093,1.29449274470177,0,0,1,0,0
"70",70,0,-0.592981522774285,-0.602208915981759,0.26295728586529,-1.54852059608876,-0.216952385242968,-2.37222874065518,0,1,1,0,0
"71",71,0,-0.617351617267148,0.597791222728071,-1.99117849912231,-0.772535246205335,-0.677377856659162,0.0314174835779523,1,0,0,1,0
"72",72,1,-1.29707424269774,2.00217212400433,1.49727345333995,-0.138917778792546,0.904230001051059,-0.464069459411272,0,1,1,0,0
"73",73,1,-0.127837237338182,-0.389556606972805,-0.0217788164563988,1.19012802511301,1.08290246549575,1.58289509969736,1,1,1,1,1
"74",74,0,1.04092847717209,-0.437096244057547,-0.650887580261167,-0.213842351937949,-0.63541548200001,-1.40415964375054,1,0,1,1,0
"75",75,0,1.66100005826493,1.25496864237801,0.190485550134515,0.960906650717446,-0.459542661431397,0.917495902701213,0,0,1,1,0
"76",76,1,-1.7225245256973,-0.0366350875068298,-0.439192585223036,-0.186534207478952,1.03357183179245,-0.103544463050269,1,0,1,0,0
"77",77,1,1.28790156453284,0.0275170025303569,0.0520199477026678,1.54214328830741,-1.51190128447373,1.37475417293654,1,0,1,0,0
"78",78,0,-1.50552593797679,1.60285362148343,0.646398808845448,1.69344402135284,-0.376503000933954,0.329290134055142,1,1,1,1,0
